,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate,zip_code_5,Minority,YearApproved,NAICS_6,LongName,IndustrySubsector,NAICS_4,BorrowerName - Clean
4650,1977627208,04/15/2020,912.0,PPP,"BBF KITCHEN, LLC",799 Bryant Street,SAN FRANCISCO,CA,94107-1027,04/14/2021,Paid in Full,24,100,67900.0,67900.0,0.0,,434922.0,Bank of San Francisco,"575 Market St, Ste 900",SAN FRANCISCO,CA,94105-2823,U,N,N,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94107-1027,CA-12,7,722513.0,Asian,Not Hispanic or Latino,0.0,60000.0,0.0,7900.0,0.0,0.0,0.0,Limited  Liability Company(LLC),434922.0,Bank of San Francisco,SAN FRANCISCO,CA,Male Owned,Non-Veteran,,68484.69,03/05/2021,94107.0,Yes,2020,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,BBF KITCHEN
4652,1559007207,04/15/2020,912.0,PPP,JBRP LIFESTYLES LLC,111 East Brokaw Road,San Jose,CA,95112,0,Exemption 4,24,100,74100.0,67885.0,0.0,,121536.0,Customers Bank,99 Bridge St,PHOENIXVILLE,PA,19460-3411,U,N,N,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95112-1000,CA-17,5,813990.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,0.0,67885.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),499141.0,"Readycap Lending, LLC",BERKELEY HEIGHTS,NJ,Male Owned,Unanswered,,0.0,,95112.0,Yes,2020,813990.0,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ","Business, Professional, Labor, Political, and Similar Organizations ",8139.0,JBRP LIFESTYLES
4655,2102797705,05/01/2020,912.0,PPP,"AABK SHAN, INC.",4140 N 1ST ST STE 30,SAN JOSE,CA,95134,0,Exemption 4,24,100,67862.0,67862.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,Y,Existing or more than 2 years old,SAN JOSE,SANTA CLARA,CA,95134-1000,CA-17,70,722511.0,Asian,Not Hispanic or Latino,4263.0,54291.0,0.0,9308.0,0.0,0.0,0.0,Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Unanswered,,0.0,,95134.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,AABK SHAN
4658,3972147707,05/01/2020,912.0,PPP,COSTLESS BRAND NAMES,28970 HOPKINS ST STE B,HAYWARD,CA,94545,0,Exemption 4,24,100,67811.0,67811.0,0.0,,12096.0,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,HAYWARD,ALAMEDA,CA,94545-0001,CA-15,10,453998.0,Asian,Unknown/NotStated,0.0,67811.0,0.0,0.0,0.0,0.0,0.0,Corporation,12096.0,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Male Owned,Non-Veteran,,0.0,,94545.0,Yes,2020,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,Other Miscellaneous Store Retailers ,4539.0,COSTLESS BRAND NAMES
4659,4601038308,01/23/2021,912.0,PPS,COSTLESS BRAND NAMES,28970 Hopkins St Ste B,Hayward,CA,94545-5027,0,Exemption 4,60,100,67810.0,67810.0,0.0,,12096.0,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,Hayward,ALAMEDA,CA,94545-5027,CA-15,9,452210.0,Asian,Unknown/NotStated,1.0,67808.0,0.0,0.0,0.0,0.0,0.0,Corporation,12096.0,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Male Owned,Non-Veteran,,0.0,,94545.0,Yes,2021,452210.0,Department Stores ,Department Stores ,4522.0,COSTLESS BRAND NAMES
4666,4970267709,05/01/2020,912.0,PPP,YUUBI JAPANESE RESTAURANT,501 BALBOA ST,SAN FRANCISCO,CA,94118-3822,04/16/2021,Paid in Full,24,100,50000.0,67734.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,Y,New Business or 2 years or less,SAN FRANCISCO,SAN FRANCISCO,CA,94118-3822,CA-12,12,722511.0,Asian,Not Hispanic or Latino,0.0,67734.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,68288.86,02/25/2021,94118.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,YUUBI JAPANESE RESTAURANT
4679,4063348505,02/25/2021,912.0,PPS,DIM SUM KAI,1771 Decoto Rd,Union City,CA,94587-3542,0,Exemption 4,60,100,67501.0,67501.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Union City,ALAMEDA,CA,94587-3542,CA-15,9,722511.0,Asian,Unknown/NotStated,1.0,67496.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,0.0,,94587.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,DIM SUM KAI
4685,3115717707,05/01/2020,912.0,PPP,HARRY SEAFOOD INC,8158 CANYON CREEK CIR,PLEASANTON,CA,94588,02/18/2021,Paid in Full,24,100,67500.0,67500.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,PLEASANTON,ALAMEDA,CA,94588-0001,CA-15,6,424460.0,Asian,Not Hispanic or Latino,800.0,54000.0,1200.0,3000.0,0.0,3400.0,5100.0,Subchapter S Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Female Owned,Non-Veteran,,67944.68,12/30/2020,94588.0,Yes,2020,424460.0,Fish and Seafood Merchant Wholesalers ,Grocery and Related Product Merchant Wholesalers ,4244.0,HARRY SEAFOOD
4689,7022327206,04/28/2020,912.0,PPP,"SOMA SLICE, LLC",1233 19th St,SAN FRANCISCO,CA,94107-2923,05/14/2021,Paid in Full,24,100,67500.0,67500.0,0.0,,110352.0,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,N,N,Unanswered,SAN FRANCISCO,SAN FRANCISCO,CA,94107-2923,CA-12,14,722513.0,Asian,Not Hispanic or Latino,0.0,67500.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),110352.0,First Bank of the Lake,OSAGE BEACH,MO,Male Owned,Non-Veteran,,68139.38,04/26/2021,94107.0,Yes,2020,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SOMA SLICE
4698,8379727706,05/01/2020,912.0,PPP,ARECAR TOWING INC,1175 SELBY ST,SAN FRANCISCO,CA,94124,03/20/2021,Paid in Full,24,100,67360.0,67360.0,0.0,,53803.0,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,Y,New Business or 2 years or less,SAN FRANCISCO,SAN FRANCISCO,CA,94124-0001,CA-12,9,,Unanswered,Hispanic or Latino,0.0,67360.0,0.0,0.0,0.0,0.0,0.0,Corporation,53803.0,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,58726.37,12/17/2020,94124.0,Yes,2020,,,,,ARECAR TOWING
4699,5949458409,02/09/2021,912.0,PPS,PLENTEA INC.,341 Kearny St,San Francisco,CA,94108-3204,0,Exemption 4,60,100,67352.0,67352.0,0.0,,59698.0,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470-4934,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94108-3204,CA-12,10,722515.0,Asian,Unknown/NotStated,0.0,67351.0,0.0,0.0,0.0,0.0,0.0,Corporation,59698.0,Umpqua Bank,ROSEBURG,OR,Male Owned,Non-Veteran,,0.0,,94108.0,Yes,2021,722515.0,Snack and Nonalcoholic Beverage Bars ,Restaurants and Other Eating Places,7225.0,PLENTEA
4732,8068388405,02/12/2021,912.0,PPS,RCDF INC.,678 Chenery St,San Francisco,CA,94131-3034,0,Exemption 4,60,100,67014.0,67014.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94131-3034,CA-12,5,722511.0,Asian,Not Hispanic or Latino,1.0,67009.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,94131.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,RCDF
4747,5659598407,02/09/2021,912.0,PPS,ZECHSAN BUSINESS DEVELOPMENT INC,855 Folsom St Apt 540,San Francisco,CA,94107-1181,0,Exemption 4,60,100,66790.0,66790.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94107-1181,CA-12,8,722410.0,Asian,Not Hispanic or Latino,1.0,66784.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,94107.0,Yes,2021,722410.0,Drinking Places (Alcoholic Beverages) ,Drinking Places (Alcoholic Beverages),7224.0,ZECHSAN BUSINESS DEVELOPMENT
4794,9579287203,04/28/2020,912.0,PPP,REDWOOD CITY HB INC,303 Acacia Ave,San Bruno,CA,94066-4817,04/08/2021,Paid in Full,24,100,66300.0,66300.0,0.0,,89895.0,"Gateway Bank, FSB",360 8th St,OAKLAND,CA,94607-4241,U,N,N,Existing or more than 2 years old,San Bruno,SAN MATEO,CA,94066-4817,CA-14,10,722513.0,Asian,Unknown/NotStated,0.0,66300.0,0.0,0.0,0.0,0.0,0.0,Corporation,89895.0,"Gateway Bank, FSB",OAKLAND,CA,Male Owned,Non-Veteran,,56647.18,12/17/2020,94066.0,Yes,2020,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,REDWOOD CITY HB
4795,3063017706,05/01/2020,912.0,PPP,THE ESAN CLASSIC,739-743 LARKIN ST,SAN FRANCISCO,CA,94109,0,Exemption 4,24,100,66277.0,66277.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94109-0001,CA-12,180,722511.0,Asian,Not Hispanic or Latino,0.0,38604.0,0.0,27673.0,0.0,0.0,0.0,Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,0.0,,94109.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,THE ESAN CLASSIC
4810,1532368402,02/02/2021,912.0,PPS,PHNOM PENH HOUSE INC.,1514 Webster St,Alameda,CA,94501-3322,0,Exemption 4,60,100,66150.0,66150.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Alameda,ALAMEDA,CA,94501-3322,CA-13,7,722511.0,Asian,Not Hispanic or Latino,0.0,66150.0,0.0,0.0,0.0,0.0,0.0,Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Female Owned,Non-Veteran,,0.0,,94501.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,PHNOM PENH HOUSE
4812,5021998410,02/07/2021,912.0,PPS,RACHA CAFE INC.,2516 Telegraph Ave,Berkeley,CA,94704-2918,0,Exemption 4,60,100,66143.0,66143.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,N,Existing or more than 2 years old,Berkeley,ALAMEDA,CA,94704-2918,CA-13,5,722511.0,Asian,Not Hispanic or Latino,1.0,66141.0,0.0,0.0,0.0,0.0,0.0,Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,0.0,,94704.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,RACHA CAFE
4833,2520087304,04/29/2020,912.0,PPP,FRJTZ LLC,475 6th St #15,SAN FRANCISCO,CA,94103,04/14/2021,Paid in Full,24,100,65903.0,65903.0,0.0,,110352.0,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,N,N,Unanswered,SAN FRANCISCO,SAN FRANCISCO,CA,94103-0002,CA-12,6,722513.0,Unanswered,Hispanic or Latino,0.0,65903.0,0.0,0.0,0.0,0.0,0.0,Corporation,110352.0,First Bank of the Lake,OSAGE BEACH,MO,Male Owned,Non-Veteran,,66433.89,03/01/2021,94103.0,Yes,2020,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,FRJTZ
4878,2331528509,02/20/2021,912.0,PPS,DIM SUM KITCHEN INC,2520 SAN AVE,SAN FRANCISCO,CA,94134,0,Exemption 4,60,100,65313.0,65313.0,0.0,,53803.0,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94134,CA-12,9,722511.0,Asian,Not Hispanic or Latino,1.0,65307.0,0.0,0.0,0.0,0.0,0.0,Corporation,53803.0,"U.S. Bank, National Association",CINCINNATI,OH,Male Owned,Non-Veteran,,0.0,,94134.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,DIM SUM KITCHEN
4885,3730777400,05/07/2020,912.0,PPP,"SHIM & LEE ENTERPRISES, INC.",366 Golden Gate Ave.,San Francisco,CA,94102,0,Exemption 4,24,100,65241.0,65241.0,0.0,,5597.0,Hanmi Bank,"3660 Wilshire Blvd, PH-A",LOS ANGELES,CA,90010-2719,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94102-0001,CA-12,12,722511.0,Asian,Not Hispanic or Latino,0.0,65241.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,5597.0,Hanmi Bank,LOS ANGELES,CA,Female Owned,Non-Veteran,,0.0,,94102.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SHIM & LEE ENTERPRISES
4888,5226347302,04/30/2020,912.0,PPP,PLATINUM NAIL LOUNGE INC,397 AVIATION BLVD STE C,SANTA ROSA,CA,95403-1058,0,Exemption 4,24,100,55210.0,65210.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SANTA ROSA,SONOMA,CA,95403-1058,CA-02,7,812113.0,Asian,Not Hispanic or Latino,0.0,65210.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,55737.05,05/13/2021,95403.0,Yes,2020,812113.0,Nail Salons ,Personal Care Services ,8121.0,PLATINUM NAIL LOUNGE
4901,7487278505,03/06/2021,912.0,PPS,VICOLETTO INC,550 Green St,San Francisco,CA,94133-3920,0,Exemption 4,60,100,65019.0,65019.0,0.0,,188162.0,Mortgage Capital Development Corporation,1720 Broadway 3rd Floor,Oakland,CA,94612,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94133-3920,CA-12,9,722511.0,Unanswered,Hispanic or Latino,1.0,65013.0,0.0,0.0,0.0,0.0,0.0,Corporation,188162.0,Mortgage Capital Development Corporation,Oakland,CA,Male Owned,Non-Veteran,,0.0,,94133.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,VICOLETTO
4902,5343247709,05/01/2020,912.0,PPP,SKY KITCHEN INC,620 AIRPORT WAY STE 10,SAN CARLOS,CA,94070-2714,0,Exemption 4,24,100,65013.0,65013.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SAN CARLOS,SAN MATEO,CA,94070-2714,CA-14,10,722511.0,Asian,Not Hispanic or Latino,0.0,65013.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,55596.89,05/27/2021,94070.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SKY KITCHEN
4918,6334418406,02/10/2021,912.0,PPS,SAN FRANCISCO MITSUBISHI FUSO,595 Newhall Ave,San Francisco,CA,94124-1451,0,Exemption 4,60,100,65000.0,65000.0,0.0,,12096.0,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94124-1451,CA-12,4,441110.0,Asian,Unknown/NotStated,0.0,64999.0,0.0,0.0,0.0,0.0,0.0,Corporation,12096.0,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Male Owned,Non-Veteran,,0.0,,94124.0,Yes,2021,441110.0,New Car Dealers ,Automobile Dealers ,4411.0,SAN FRANCISCO MITSUBISHI FUSO
4951,5750437704,05/01/2020,912.0,PPP,LOBSTAR VENTURE LLC,900 MIDDLEFIELD RD STE A,REDWOOD CITY,CA,94063-1681,0,Exemption 4,24,100,64742.0,64742.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,REDWOOD CITY,SAN MATEO,CA,94063-1681,CA-14,25,999990.0,Asian,Unknown/NotStated,0.0,64742.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,94063.0,Yes,2020,999990.0,,,,LOBSTAR VENTURE
4958,9989697701,05/01/2020,912.0,PPP,"SMS RESTAURANTS, INC.",6174 BOLLINGER ROAD,SAN JOSE,CA,95129,04/23/2021,Paid in Full,24,100,64675.0,64675.0,0.0,,11822.0,"MUFG Union Bank, National Association","400 California St., Mailcode 4-455-212",SAN FRANCISCO,CA,94104,U,N,N,New Business or 2 years or less,SAN JOSE,SANTA CLARA,CA,95129-1000,CA-18,22,722511.0,Asian,Not Hispanic or Latino,0.0,64675.0,0.0,0.0,0.0,0.0,0.0,Corporation,11822.0,"MUFG Union Bank, National Association",SAN FRANCISCO,CA,Female Owned,Non-Veteran,,65245.56,03/25/2021,95129.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SMS RESTAURANTS
4962,4412998402,02/06/2021,912.0,PPS,LA PROMENADE CAFE,3643 Balboa St,San Francisco,CA,94121-2603,0,Exemption 4,60,100,64602.0,64602.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94121-2603,CA-12,9,722514.0,Asian,Not Hispanic or Latino,0.0,64601.0,0.0,0.0,0.0,0.0,0.0,Sole Proprietorship,456756.0,Cross River Bank,TEANECK,NJ,Female Owned,Non-Veteran,,0.0,,94121.0,Yes,2021,722514.0,"Cafeterias, Grill Buffets, and Buffets ",Restaurants and Other Eating Places,7225.0,LA PROMENADE CAFE
4982,6508037709,05/01/2020,912.0,PPP,CCJK CORP.,2240 IRVING ST,SAN FRANCISCO,CA,94122-1619,04/16/2021,Paid in Full,24,100,64392.0,64392.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SAN FRANCISCO,SAN FRANCISCO,CA,94122-1619,CA-12,16,561990.0,Asian,Unknown/NotStated,0.0,64392.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,64958.3,03/19/2021,94122.0,Yes,2020,561990.0,All Other Support Services,Other Support Services,5619.0,CCJK
4987,2756557310,04/29/2020,912.0,PPP,"NEW SUNRISE-7 AUTO REPAIR & GAS, INC",4298 SENTER RD,SAN JOSE,CA,95111,0,Exemption 4,24,100,64315.0,64315.0,0.0,,53803.0,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,Y,Existing or more than 2 years old,SAN JOSE,SANTA CLARA,CA,95111-1000,CA-19,8,811111.0,Asian,Not Hispanic or Latino,0.0,64315.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,53803.0,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,0.0,,95111.0,Yes,2020,811111.0,General Automotive Repair ,Automotive Repair and Maintenance,8111.0,NEW SUNRISE-7 AUTO REPAIR & GAS
4991,2928647103,04/11/2020,912.0,PPP,NAM VANG RESTAURANT INC,2477 ALVIN AVE,SAN JOSE,CA,95121-1684,02/18/2021,Paid in Full,24,100,64300.0,64300.0,0.0,,119918.0,East West Bank,"135 N Los Robles Ave, 7th Fl",PASADENA,CA,91101-4525,U,Y,Y,Existing or more than 2 years old,SAN JOSE,SANTA CLARA,CA,95121-1684,CA-19,13,722511.0,Asian,Not Hispanic or Latino,0.0,64300.0,0.0,0.0,0.0,0.0,0.0,Corporation,119918.0,East West Bank,PASADENA,CA,Female Owned,Non-Veteran,,64769.75,01/11/2021,95121.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,NAM VANG RESTAURANT
5000,7308988305,01/28/2021,912.0,PPS,GOLDEN HARVEST RESTAURANT INC,1518 N 4th St,San Jose,CA,95112-4606,0,Exemption 4,60,100,64225.0,64225.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95112-4606,CA-19,6,722320.0,Asian,Not Hispanic or Latino,1.0,64223.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,95112.0,Yes,2021,722320.0,Caterers,Special Food Services,7223.0,GOLDEN HARVEST RESTAURANT
5001,9952978302,01/31/2021,912.0,PPS,ANCHALEE LLC,620 Ofarrell St,San Francisco,CA,94109-7404,0,Exemption 4,60,100,64218.0,64218.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94109-7404,CA-12,9,722511.0,Asian,Not Hispanic or Latino,1.0,64212.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Female Owned,Non-Veteran,,0.0,,94109.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,ANCHALEE
5003,5115977703,05/01/2020,912.0,PPP,ABURAYA LLC,362 17TH ST,OAKLAND,CA,94612-3335,0,Exemption 4,24,100,64142.0,64142.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,OAKLAND,ALAMEDA,CA,94612-3335,CA-13,20,713990.0,Asian,Unknown/NotStated,0.0,64142.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,64625.26,02/05/2021,94612.0,Yes,2020,713990.0,All Other Amusement and Recreation Industries ,Other Amusement and Recreation Industries,7139.0,ABURAYA
5008,8191188301,01/29/2021,912.0,PPS,WALTZ FOOTWEAR INC,158 Guadalupe Ter,Fremont,CA,94539-5434,0,Exemption 4,60,100,64102.0,64102.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Fremont,ALAMEDA,CA,94539-5434,CA-17,11,453998.0,Asian,Not Hispanic or Latino,1.0,64097.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,0.0,,94539.0,Yes,2021,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,Other Miscellaneous Store Retailers ,4539.0,WALTZ FOOTWEAR
5016,6208707707,05/01/2020,912.0,PPP,WALTZ FOOTWEAR INC,42329 OSGOOD RD STE G,FREMONT,CA,94539-5061,04/16/2021,Paid in Full,24,100,64000.0,64000.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,FREMONT,ALAMEDA,CA,94539-5061,CA-17,12,,Asian,Not Hispanic or Latino,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,64524.27,02/25/2021,94539.0,Yes,2020,,,,,WALTZ FOOTWEAR
5023,2882278306,01/21/2021,912.0,PPS,SHINE PROPERTIES LLC,2023 Broadway,Oakland,CA,94612-2303,0,Exemption 4,60,100,63882.0,63882.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,Y,Y,Existing or more than 2 years old,Oakland,ALAMEDA,CA,94612-2303,CA-13,10,722410.0,Unanswered,Hispanic or Latino,1.0,63878.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),456756.0,Cross River Bank,TEANECK,NJ,Male Owned,Unanswered,,0.0,,94612.0,Yes,2021,722410.0,Drinking Places (Alcoholic Beverages) ,Drinking Places (Alcoholic Beverages),7224.0,SHINE PROPERTIES
5040,4616168402,02/06/2021,912.0,PPS,ARECAR TOWING INC.,1175 Selby St,San Francisco,CA,94124-1341,0,Exemption 4,60,100,63759.0,63759.0,0.0,,53803.0,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94124-1341,CA-12,10,488410.0,Unanswered,Hispanic or Latino,1.0,63756.0,0.0,0.0,0.0,0.0,0.0,Corporation,53803.0,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,0.0,,94124.0,Yes,2021,488410.0,Motor Vehicle Towing,Support Activities for Road Transportation,4884.0,ARECAR TOWING
